brand,form_factor,screen_in,ram_gb,weight_kg,ssd_gb,hdd_gb,storage_total_gb,has_ssd,res_w,res_h,ppi,is_touch,is_ips,is_retina,cpu_brand,cpu_tier,cpu_ghz,gpu_brand,os_group,price_inr,price_usd
Apple,Ultrabook,13.3,8.0,1.37,128.0,0.0,128.0,1,2560,1600,226.98300468106115,0,1,1,Intel,Core i5,2.3,Intel,macOS,71378.6832,859.98
Apple,Ultrabook,13.3,8.0,1.34,0.0,0.0,128.0,0,1440,900,127.67794013309688,0,0,0,Intel,Core i5,1.8,Intel,macOS,47895.5232,577.05
HP,Notebook,15.6,8.0,1.86,256.0,0.0,256.0,1,1920,1080,141.21199808219862,0,0,0,Intel,Core i5,2.5,Intel,No OS,30636.0,369.11
Apple,Ultrabook,15.4,16.0,1.83,512.0,0.0,512.0,1,2880,1800,220.53462386625827,0,1,1,Intel,Core i7,2.7,AMD,macOS,135195.33599999998,1628.86
Apple,Ultrabook,13.3,8.0,1.37,256.0,0.0,256.0,1,2560,1600,226.98300468106115,0,1,1,Intel,Core i5,3.1,Intel,macOS,96095.808,1157.78
Acer,Notebook,15.6,4.0,2.1,0.0,500.0,500.0,0,1366,768,100.45466986113651,0,0,0,AMD,Other,3.0,AMD,Windows,21312.0,256.77
Apple,Ultrabook,15.4,16.0,2.04,0.0,0.0,256.0,0,2880,1800,220.53462386625827,0,1,1,Intel,Core i7,2.2,Intel,macOS,114017.6016,1373.71
Apple,Ultrabook,13.3,8.0,1.34,0.0,0.0,256.0,0,1440,900,127.67794013309688,0,0,0,Intel,Core i5,1.8,Intel,macOS,61735.536,743.8
Asus,Ultrabook,14.0,16.0,1.3,512.0,0.0,512.0,1,1920,1080,157.3505121487356,0,0,0,Intel,Core i7,1.8,Nvidia,Windows,79653.59999999999,959.68
Acer,Ultrabook,14.0,8.0,1.6,256.0,0.0,256.0,1,1920,1080,157.3505121487356,0,1,0,Intel,Core i5,1.6,Intel,Windows,41025.6,494.28
HP,Notebook,15.6,4.0,1.86,0.0,500.0,500.0,0,1366,768,100.45466986113651,0,0,0,Intel,Core i5,2.5,Intel,No OS,20986.992,252.86
HP,Notebook,15.6,4.0,1.86,0.0,500.0,500.0,0,1920,1080,141.21199808219862,0,0,0,Intel,Core i3,2.0,Intel,No OS,18381.0672,221.46
Apple,Ultrabook,15.4,16.0,1.83,256.0,0.0,256.0,1,2880,1800,220.53462386625827,0,1,1,Intel,Core i7,2.8,AMD,macOS,130001.6016,1566.28
Dell,Notebook,15.6,4.0,2.2,256.0,0.0,256.0,1,1920,1080,141.21199808219862,0,0,0,Intel,Core i3,2.0,AMD,Windows,26581.391999999996,320.26
Apple,Ultrabook,12.0,8.0,0.92,256.0,0.0,256.0,1,2304,1440,226.41554716935852,0,1,1,Intel,Other,1.2,Intel,macOS,67260.672,810.37
Apple,Ultrabook,13.3,8.0,1.37,256.0,0.0,256.0,1,2560,1600,226.98300468106115,0,1,1,Intel,Core i5,2.3,Intel,macOS,80908.344,974.8
Dell,Notebook,15.6,8.0,2.2,256.0,0.0,256.0,1,1920,1080,141.21199808219862,0,0,0,Intel,Core i7,2.7,AMD,Windows,39693.6,478.24
Apple,Ultrabook,15.4,16.0,1.83,512.0,0.0,512.0,1,2880,1800,220.53462386625827,0,1,1,Intel,Core i7,2.9,AMD,macOS,152274.24,1834.63
Lenovo,Notebook,15.6,8.0,2.2,0.0,1000.0,1000.0,0,1920,1080,141.21199808219862,0,0,0,Intel,Core i3,2.4,Nvidia,No OS,26586.72,320.32
Dell,Ultrabook,13.3,8.0,1.22,128.0,0.0,128.0,1,1920,1080,165.6321180513006,1,1,0,Intel,Core i5,1.6,Intel,Windows,52161.119999999995,628.45
Asus,Netbook,11.6,2.0,0.98,0.0,0.0,32.0,0,1366,768,135.0942111925629,0,0,0,Intel,Atom,1.44,Intel,Windows,10224.432,123.19
Lenovo,Gaming,15.6,8.0,2.5,128.0,1000.0,1128.0,1,1920,1080,141.21199808219862,0,1,0,Intel,Core i5,2.5,Nvidia,Windows,53226.72,641.29
HP,Notebook,15.6,4.0,1.86,0.0,500.0,500.0,0,1366,768,100.45466986113651,0,0,0,AMD,Other,1.5,AMD,No OS,13746.24,165.62
Dell,2 in 1 Convertible,13.3,8.0,1.62,256.0,0.0,256.0,1,1920,1080,165.6321180513006,1,0,0,Intel,Core i5,1.6,Intel,Windows,43636.32,525.74
HP,Ultrabook,15.6,8.0,1.91,256.0,0.0,256.0,1,1920,1080,141.21199808219862,0,0,0,Intel,Core i7,1.8,Intel,Windows,35111.52,423.03
Dell,Notebook,15.6,4.0,2.3,0.0,1000.0,1000.0,0,1366,768,100.45466986113651,0,0,0,Intel,Core i3,2.0,Intel,Windows,22305.1392,268.74
Apple,Ultrabook,13.3,8.0,1.35,0.0,0.0,128.0,0,1440,900,127.67794013309688,0,0,0,Intel,Core i5,1.6,Intel,macOS,58554.72,705.48
Dell,Notebook,15.6,8.0,2.2,256.0,0.0,256.0,1,1920,1080,141.21199808219862,0,0,0,Intel,Core i5,1.6,AMD,Windows,42624.0,513.54
Dell,Ultrabook,15.6,8.0,1.88,512.0,0.0,512.0,1,1920,1080,141.21199808219862,0,0,0,Intel,Core i7,1.9,Intel,Windows,69157.44,833.22
HP,Notebook,17.3,8.0,2.5,0.0,1000.0,1000.0,0,1920,1080,127.33567457123111,0,0,0,Intel,Core i5,1.6,Nvidia,Windows,47738.88,575.17
Chuwi,Notebook,15.6,4.0,1.89,0.0,0.0,64.0,0,1920,1080,141.21199808219862,0,0,0,Intel,Atom,1.44,Intel,Windows,13053.0672,157.27
